Date,Open,High,Low,Close,Adj Close,Volume
2010-01-25,14.340000,14.370000,14.240000,14.320000,13.208936,14800
2010-01-26,14.300000,14.460000,14.290000,14.300000,13.190486,21200
2010-01-27,14.340000,14.430000,14.260000,14.430000,13.310401,15600
2010-01-28,14.210000,14.210000,13.940000,14.090000,12.996781,5600
2010-01-29,14.200000,14.200000,13.740000,13.740000,12.673936,17300
2010-02-01,13.860000,13.880000,13.800000,13.880000,12.803074,8500
2010-02-02,13.900000,14.020000,13.880000,14.010000,12.922989,3600
2010-02-03,14.010000,14.080000,14.010000,14.080000,12.987556,1300
2010-02-04,14.030000,14.030000,13.700000,13.730000,12.664711,32500
2010-02-05,13.760000,13.760000,13.540000,13.550000,12.498678,15900
2010-02-08,13.780000,13.870000,13.780000,13.840000,12.766179,6200
2010-02-09,13.870000,13.950000,13.780000,13.850000,12.775404,21500
2010-02-10,13.790000,13.860000,13.790000,13.820000,12.747729,11000
2010-02-11,13.750000,14.060000,13.750000,14.030000,12.941434,23300
2010-02-12,13.960000,14.070000,13.890000,14.050000,12.959884,5900
2010-02-16,14.180000,14.230000,14.100000,14.230000,13.125918,8000
2010-02-17,14.260000,14.280000,14.240000,14.280000,13.172037,3900
2010-02-18,14.320000,14.390000,14.320000,14.390000,13.273504,3400
2010-02-19,14.410000,14.410000,14.400000,14.410000,13.291952,4800
2010-02-22,14.320000,14.390000,14.320000,14.350000,13.236607,9500
2010-02-23,14.300000,14.300000,14.160000,14.200000,13.098243,12000
2010-02-24,14.370000,14.370000,14.290000,14.330000,13.218160,8200
2010-02-25,14.100000,14.310000,14.100000,14.280000,13.172037,4800
2010-02-26,14.280000,14.380000,14.280000,14.350000,13.236607,7400
2010-03-01,14.550000,14.580000,14.530000,14.580000,13.448761,13800
2010-03-02,14.650000,14.680000,14.600000,14.610000,13.476433,11300
2010-03-03,14.650000,14.690000,14.580000,14.580000,13.448761,4400
2010-03-04,14.690000,14.690000,14.630000,14.650000,13.513331,40300
2010-03-05,14.770000,14.890000,14.770000,14.890000,13.734711,64800
2010-03-08,14.950000,14.950000,14.890000,14.940000,13.780830,457700
2010-03-09,14.920000,15.050000,14.920000,14.940000,13.780830,9400
2010-03-10,15.030000,15.120000,15.030000,15.110000,13.937639,64500
2010-03-11,15.090000,15.160000,15.090000,15.160000,13.983761,77900
2010-03-12,15.170000,15.180000,15.130000,15.160000,13.983761,68800
2010-03-15,15.160000,15.160000,15.030000,15.130000,13.956089,68900
2010-03-16,15.200000,15.220000,15.160000,15.200000,14.020658,9200
2010-03-17,15.270000,15.330000,15.240000,15.270000,14.085227,116800
2010-03-18,15.300000,15.320000,15.250000,15.320000,14.131347,59000
2010-03-19,15.330000,15.330000,15.180000,15.210000,14.029883,46100
2010-03-22,15.180000,15.400000,15.180000,15.340000,14.149796,77100
2010-03-23,15.340000,15.430000,15.320000,15.430000,14.232813,69600
2010-03-24,15.410000,15.420000,15.380000,15.390000,14.195917,31300
2010-03-25,15.460000,15.560000,15.400000,15.400000,14.205140,61400
2010-03-26,15.430000,15.440000,15.300000,15.350000,14.181120,26300
2010-03-29,15.450000,15.470000,15.400000,15.410000,14.236550,19400
2010-03-30,15.510000,15.510000,15.430000,15.460000,14.282743,3100
2010-03-31,15.450000,15.460000,15.410000,15.410000,14.236550,3300
2010-04-01,15.490000,15.490000,15.340000,15.380000,14.208835,45100
2010-04-05,15.470000,15.560000,15.400000,15.540000,14.356650,47300
2010-04-06,15.540000,15.620000,15.490000,15.590000,14.402843,55800
2010-04-07,15.610000,15.620000,15.500000,15.530000,14.347413,79500
2010-04-08,15.580000,15.600000,15.460000,15.580000,14.393605,72600
2010-04-09,15.630000,15.670000,15.560000,15.670000,14.476750,90600
2010-04-12,15.750000,16.139999,15.650000,15.690000,14.495228,104100
2010-04-13,15.730000,15.770000,15.640000,15.770000,14.569139,63900
2010-04-14,15.880000,15.940000,15.830000,15.940000,14.726193,182100
2010-04-15,15.990000,16.129999,15.850000,16.059999,14.837052,228600
2010-04-16,15.960000,16.000000,15.750000,15.830000,14.624571,150900
2010-04-19,15.820000,15.820000,15.650000,15.800000,14.596852,14100
2010-04-20,15.890000,15.990000,15.800000,15.880000,14.670760,23100
2010-04-21,16.020000,16.020000,15.900000,15.960000,14.744668,13200
2010-04-22,15.750000,16.080000,15.750000,16.080000,14.855532,6900
